release_id,cover_url
11887584,https://i.discogs.com/p_Bugl-HvmmADOKKM87NREIZo6v_-rL8ITR5LgudG9E/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExODg3/NTg0LTE1MjQxNTE1/NDItOTM5Mi5qcGVn.jpeg
14122777,https://i.discogs.com/a1p9JtMt7sg7i1JpueEyb9rSJhbKsS-Fv5dt3B-V0Lw/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MTIy/Nzc3LTE1Njg1NDY4/MjctNDM5MS5qcGVn.jpeg
2172309,https://i.discogs.com/ywbKDV0KbQub7imAaB3CzHwFPtDqTkMPv8rXXUKAeA8/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxNzIz/MDktMTI2NzkwNTQy/NS5qcGVn.jpeg
849426,https://i.discogs.com/lwwCmcx23YKy1_YX-6qmaeD41mCNhBoQ358IwhlgjNg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0OTQy/Ni0xMjA1MDIxMzY5/LmpwZWc.jpeg
3160188,https://i.discogs.com/LX9IVPKtqqr7--0fQJJHFN-srHquJdEuJu_SyHMhfU4/rs:fit/g:sm/q:90/h:199/w:200/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNjAx/ODgtMTMxODUwOTEy/Mi5qcGVn.jpeg
479091,https://i.discogs.com/g63B0RHuMGTk4JcTDkrt9aJF2mOAI0-GpMuG2_5Zgs8/rs:fit/g:sm/q:90/h:526/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ3OTA5/MS0xNTc3MDA2OTU0/LTczMjMuanBlZw.jpeg
161255,https://i.discogs.com/B_LgPioXbPxc4I5DPXmOXCGjOm_5Oady_ZoCAQ4nmo0/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTI1/NS0xNTMzODQ2MTE3/LTQ3NTYuanBlZw.jpeg
55205,https://i.discogs.com/Ync_dTHIhR06h2OVr3m49si0WUB190BqVeT6V4TCQ8s/rs:fit/g:sm/q:90/h:524/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1MjA1/LTE1NDYyNjQ3MTkt/MzYyMC5qcGVn.jpeg
80635,https://i.discogs.com/zNx8XtePBtvzDB5kVnltkFbByQUHdV-lqpR_LMarVU4/rs:fit/g:sm/q:90/h:457/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgwNjM1/LTE0OTU5NjcwMzgt/MTY1MS5qcGVn.jpeg
94457,https://i.discogs.com/WTtouSVB0zaiKZ8uicGjUQ-b6LAoR_V-kp86EnXEmCw/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk0NDU3/LTE0MjQwODM2MTEt/NTY5MC5qcGVn.jpeg
